STT;Tên VB;Số hiệu;Status
116;Luật sửa đổi, bổ sung một số điều của Luật Bảo hiểm y tế;46/2014/QH13;Văn bản bị sửa đổi
117;Luật Bảo vệ và kiểm dịch thực vật;41/2013/QH13;Văn bản bị sửa đổi
118;Luật Việc làm;38/2013/QH13;Văn bản bị sửa đổi
119;Luật Phòng, chống khủng bố;28/2013/QH13;Văn bản bị sửa đổi
120;Luật Xuất bản;19/2012/QH13;Văn bản bị sửa đổi
121;Luật Biển Việt Nam;18/2012/QH13;Văn bản bị sửa đổi
122;Luật Quảng cáo;16/2012/QH13;Văn bản bị sửa đổi
123;Luật Ngân hàng Nhà nước Việt Nam;46/2010/QH12;Văn bản bị sửa đổi
124;Luật Thuế sử dụng đất phi nông nghiệp;48/2010/QH12;Văn bản bị sửa đổi
125;Luật Trọng tài thương mại;54/2010/QH12;Văn bản bị sửa đổi
126;Luật Thuế tài nguyên;45/2009/QH12;Văn bản bị sửa đổi
127;Luật sửa đổi, bổ sung một số điều của Luật Sở hữu trí tuệ;36/2009/QH12;Văn bản bị sửa đổi
128;Luật sửa đổi, bổ sung một số điều của Luật sĩ quan Quân đội nhân dân Việt Nam;19/2008/QH12;Văn bản bị sửa đổi
129;Luật An ninh Quốc gia;32/2004/QH11;Văn bản bị sửa đổi
130;Luật Biên giới Quốc gia;06/2003/QH11;Văn bản bị sửa đổi
131;Bộ luật Lao động;45/2019/QH14;Văn bản hết hiệu lực một phần
132;Bộ luật Tố tụng dân sự;92/2015/QH13;Văn bản hết hiệu lực một phần
133;Bộ luật Hàng hải Việt Nam;95/2015/QH13;Văn bản hết hiệu lực một phần
134;Bộ luật Hình sự;100/2015/QH13;Văn bản hết hiệu lực một phần
135;Bộ luật Tố tụng hình sự;101/2015/QH13;Văn bản hết hiệu lực một phần
136;Luật sửa đổi, bổ sung một số điều của Luật Chứng khoán, Luật Kế toán, Luật Kiểm toán độc lập, Luật Ngân sách Nhà nước, Luật Quản lý, sử dụng tài sản công, Luật Quản lý thuế, Luật Thuế thu nhập cá nhân, Luật Dự trữ quốc gia, Luật Xử lý vi phạm hành chính;56/2024/QH15;Văn bản hết hiệu lực một phần
137;Luật Phòng, chống mua bán người;53/2024/QH15;Văn bản hết hiệu lực một phần
138;Luật Tư pháp người chưa thành niên;59/2024/QH15;Văn bản hết hiệu lực một phần
139;Luật Đầu tư công;58/2024/QH15;Văn bản hết hiệu lực một phần
140;Luật Quy hoạch đô thị và nông thôn;47/2024/QH15;Văn bản hết hiệu lực một phần
141;Luật Di sản văn hóa;45/2024/QH15;Văn bản hết hiệu lực một phần
142;Luật Công đoàn;50/2024/QH15;Văn bản hết hiệu lực một phần
143;Luật sửa đổi, bổ sung một số điều của Luật Quy hoạch, Luật Đầu tư, Luật Đầu tư theo phương thức đối tác công tư và Luật Đấu thầu;57/2024/QH15;Văn bản hết hiệu lực một phần
144;Luật Tổ chức Tòa án nhân dân;34/2024/QH15;Văn bản hết hiệu lực một phần
145;Luật Công nghiệp quốc phòng, an ninh và động viên công nghiệp;38/2024/QH15;Văn bản hết hiệu lực một phần
146;Luật Thủ đô;39/2024/QH15;Văn bản hết hiệu lực một phần
147;Luật Bảo hiểm xã hội;41/2024/QH15;Văn bản hết hiệu lực một phần
148;Luật Đường bộ;35/2024/QH15;Văn bản hết hiệu lực một phần
149;Luật Đất đai;31/2024/QH15;Văn bản hết hiệu lực một phần
150;Luật Lực lượng tham gia bảo vệ an ninh, trật tự ở cơ sở;30/2023/QH15;Văn bản hết hiệu lực một phần
151;Luật Tài nguyên nước;28/2023/QH15;Văn bản hết hiệu lực một phần
152;Luật Nhà ở;27/2023/QH15;Văn bản hết hiệu lực một phần
153;Luật Kinh doanh bất động sản;29/2023/QH15;Văn bản hết hiệu lực một phần
154;Luật Giao dịch điện tử;20/2023/QH15;Văn bản hết hiệu lực một phần
155;Luật Đấu thầu;22/2023/QH15;Văn bản hết hiệu lực một phần
156;Luật Phòng thủ dân sự;18/2023/QH15;Văn bản hết hiệu lực một phần
157;Luật Giá;16/2023/QH15;Văn bản hết hiệu lực một phần
158;Luật Thực hiện dân chủ ở cơ sở;10/2022/QH15;Văn bản hết hiệu lực một phần
159;Luật sửa đổi, bổ sung một số điều của Luật Sở hữu trí tuệ;07/2022/QH15;Văn bản hết hiệu lực một phần
